Family,species,subspecies,Size_Dimorphism,Sexual_Dimorphism,DM_Head,Natal_Coat,ConD,ConM,ConB,Sexual_Dichromatism,DC_Head
cercopithecidae,Pygathrix_nemaeus,NA,1,1,0,1,0,0,0,1,0
cercopithecidae,Pygathrix_nigripes,NA,1,1,1,1,0,0,0,1,0
cercopithecidae,Pygathrix_cinerea,NA,0,0,0,0,0,0,0,0,0
cercopithecidae,Rhinopithecus_avunculus,NA,1,1,0,1,0,0,0,1,0
cercopithecidae,Rhinopithecus_bieti,NA,1,1,0,1,0,0,0,1,0
cercopithecidae,Rhinopithecus_brelichi,NA,1,1,0,1,0,0,0,1,0
cercopithecidae,Rhinopithecus_roxellana,NA,1,1,0,1,0,0,1,0,0
callitrichidae,Saguinus_imperator,subgriscens,0,1,1,1,0,0,0,1,0
callitrichidae,Saguinus_bicolor,NA,0,0,0,0,0,0,0,1,0
callitrichidae,Leontocebus_fuscicollis,NA,1,0,0,0,0,0,0,0,0
callitrichidae,Saguinus_geoffroyi,NA,0,0,0,0,0,0,0,0,0
callitrichidae,Saguinus_inustus,NA,1,0,0,0,0,0,0,0,0
callitrichidae,Saguinus_labiatus,NA,0,0,0,0,0,0,0,0,0
callitrichidae,Saguinus_leucopus,NA,0,0,0,0,0,0,0,0,0
callitrichidae,Saguinus_midas,NA,1,0,0,1,0,0,0,0,0
callitrichidae,Saguinus_mystax,NA,1,0,0,0,0,0,0,0,0
callitrichidae,Leontocebus_nigricollis,NA,0,0,0,0,0,0,0,0,0
callitrichidae,Saguinus_oedipus,NA,0,0,0,0,0,0,0,0,0
callitrichidae,Leontocebus_tripartitus,NA,0,0,0,0,0,0,0,0,0
cebidae,Saimiri_boliviensis,NA,1,0,0,0,0,0,0,1,0
cebidae,Saimiri_oerstedii,NA,1,0,0,0,0,0,0,0,0
cebidae,Saimiri_sciureus,NA,1,0,0,0,0,0,0,0,0
cebidae,Saimiri_ustus,NA,1,0,0,0,0,0,0,1,1
cebidae,Saimiri_vanzolinii,NA,1,0,0,0,0,0,0,0,0
cercopithecidae,Semnopithecus_entellus,NA,1,1,1,1,0,0,1,0,0
tarsiidae,Tarsius_bancanus,NA,0,0,0,1,0,0,0,0,0
tarsiidae,Tarsius_dentatus,NA,0,0,0,0,0,0,0,0,0
tarsiidae,Tarsius_pumilus,NA,0,0,0,0,0,0,0,0,0
tarsiidae,Tarsius_tarsier,NA,1,0,0,0,0,0,0,0,0
tarsiidae,Tarsius_syrichta,NA,1,0,0,1,0,0,0,0,0
cercopithecidae,Theropithecus_gelada,NA,1,1,0,1,0,0,0,1,0
cercopithecidae,Trachypithecus_obscurus,NA,1,0,0,1,0,0,1,1,0
cercopithecidae,Trachypithecus_auratus,NA,1,0,0,1,0,0,1,1,0
cercopithecidae,Trachypithecus_cristatus,NA,1,0,0,1,0,0,1,1,0
cercopithecidae,Trachypithecus_delacouri,NA,0,0,0,1,0,0,0,1,0
cercopithecidae,Trachypithecus_francoisi,NA,1,0,0,1,0,0,1,1,0
cercopithecidae,Trachypithecus_geei,NA,1,0,0,1,0,0,1,1,0
cercopithecidae,Trachypithecus_johnii,NA,1,0,0,1,0,0,1,1,0
cercopithecidae,Trachypithecus_phayrei,NA,1,1,1,1,0,0,1,1,0
cercopithecidae,Trachypithecus_pileatus,NA,1,0,0,1,0,0,1,1,0
cercopithecidae,Trachypithecus_vetulus,NA,1,0,0,1,0,0,0,0,0
lemuridae,Varecia_variegata,NA,0,0,0,0,0,0,0,0,0
