Iteration	Replicate_ID	Posterior	Likelihood	Prior	diversification[1]	diversification[2]	diversification[3]	diversification[4]	diversification[5]	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	rate_category_prior[1]	rate_category_prior[2]	rate_category_prior[3]	rate_category_prior[4]	rate_category_prior[5]	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation[5]	transition_rates[1]	transition_rates[2]	transition_rates[3]	transition_rates[4]	transition_rates[5]	transition_rates[6]	transition_rates[7]	transition_rates[8]	transition_rates[9]	transition_rates[10]	transition_rates[11]	transition_rates[12]	transition_rates[13]	transition_rates[14]	transition_rates[15]	transition_rates[16]	transition_rates[17]	transition_rates[18]	transition_rates[19]	transition_rates[20]
21	1	-1653.122	-1751.906	98.78324	0.140181	0.193495	0.147092	0.0625761	0.09596	0.00819104	0.0123256	0.0146695	0.0101462	0.00763529	0.12533	0.331821	0.125897	0.329589	0.0873627	0.148372	0.205821	0.161762	0.0727224	0.103595	0.0068271	0.000283274	0.00740216	0.0104721	0.00598328	0.0160745	0.00912056	0.0034098	0.0173714	0.000917638	0.000320625	0.00621724	0.0015198	0.00505269	0.0067582	0.000298159	0.000768118	0.000685813	0.00828953	0.00152727
22	0	-1626.633	-1722.364	95.73058	0.106984	0.180801	0.0943252	0.0545922	0.0518505	0.00656802	0.00833867	0.00527049	0.00557382	0.0048784	0.220588	0.0440318	0.45612	0.247045	0.0322142	0.113552	0.18914	0.0995957	0.060166	0.0567289	0.0132246	0.000859414	0.00220217	0.00406105	0.0168981	0.00238371	0.00195368	0.0213513	9.05218e-05	0.00378812	0.000432398	0.0111514	0.0191903	0.00423227	0.00518776	0.00962273	0.0245597	0.0116272	0.000966643	0.0104512
23	1	-1646.563	-1745.242	98.67973	0.139625	0.214645	0.174694	0.0627269	0.0871627	0.00874722	0.0115817	0.0125077	0.00957258	0.00731741	0.134127	0.35511	0.0645472	0.352722	0.0934944	0.148372	0.226226	0.187202	0.0722995	0.0944801	0.00737832	0.00025393	0.007918	0.00975003	0.00598328	0.0149271	0.00925261	0.00305048	0.0173714	0.000950963	0.000314574	0.00731714	0.00137974	0.00571065	0.0067582	0.000289485	0.00094626	0.000675762	0.00899791	0.00169642
24	0	-1616.205	-1711.829	95.62392	0.109905	0.209518	0.0756246	0.0551083	0.052811	0.00666591	0.00812109	0.00510198	0.00587572	0.00454296	0.220588	0.0440318	0.45612	0.247045	0.0322142	0.116571	0.21764	0.0807266	0.060984	0.0573539	0.0126863	0.000820292	0.00258682	0.0038781	0.0172858	0.00226432	0.00164137	0.0195436	9.9881e-05	0.00346657	0.000494817	0.010255	0.0224389	0.00394397	0.00520593	0.00962616	0.0259619	0.0116272	0.000911553	0.0109002
25	1	-1637.453	-1736.924	99.47015	0.137278	0.240822	0.180413	0.0629338	0.0764921	0.0089198	0.00985237	0.0125077	0.00797408	0.00669738	0.134127	0.35511	0.0645472	0.352722	0.0934944	0.146198	0.250674	0.192921	0.0709079	0.0831895	0.00733377	0.000232372	0.00813837	0.00811205	0.00714603	0.0140311	0.00925261	0.00348122	0.0167953	0.000961039	0.000292729	0.00727047	0.00133232	0.0054945	0.00615466	0.000273755	0.00094626	0.000745071	0.00879285	0.00153785
26	0	-1614.473	-1709.93	95.45685	0.110443	0.216161	0.07417	0.0559751	0.0496366	0.00612836	0.00786695	0.00510198	0.00576312	0.0042035	0.201301	0.0401818	0.404218	0.324903	0.0293975	0.116571	0.224028	0.079272	0.0617383	0.0538401	0.0131573	0.000847649	0.00258682	0.00416101	0.017036	0.00254531	0.00162638	0.0191048	7.90371e-05	0.00339641	0.000550856	0.0106384	0.0245086	0.00425268	0.00550857	0.00997892	0.0241101	0.0130088	0.000928638	0.0107468
27	1	-1641.655	-1741.319	99.66402	0.119802	0.223991	0.215835	0.0611849	0.0674494	0.0093976	0.011918	0.0111228	0.0075334	0.00669738	0.134127	0.35511	0.0645472	0.352722	0.0934944	0.129199	0.235909	0.226957	0.0687183	0.0741467	0.00806692	0.000224885	0.00815145	0.00880844	0.00701489	0.0154572	0.00826248	0.00352068	0.014482	0.000961039	0.000287936	0.00734537	0.00135119	0.00502024	0.00647233	0.000258902	0.00090694	0.000754259	0.00867949	0.00159693
28	0	-1613.18	-1709.762	96.58185	0.113177	0.216596	0.0706971	0.0568748	0.0429196	0.00591764	0.00743242	0.00478341	0.00486344	0.0038605	0.361348	0.03213	0.323218	0.259797	0.0235066	0.119094	0.224028	0.0754805	0.0617383	0.0467801	0.0121602	0.00102353	0.00270868	0.00390954	0.0173315	0.00251528	0.00143761	0.0191665	7.05297e-05	0.00306176	0.000773001	0.0109349	0.0226089	0.00457513	0.00607628	0.00991186	0.0241827	0.0116631	0.000848814	0.00974212
29	1	-1633.897	-1733.391	99.49408	0.152664	0.268231	0.242638	0.0521985	0.0737665	0.00877569	0.013227	0.0117116	0.00668283	0.00712887	0.0810956	0.214706	0.0390265	0.213262	0.45191	0.161439	0.281458	0.25435	0.0588813	0.0808953	0.00806692	0.000210652	0.00685324	0.00981078	0.00701489	0.0139279	0.00929877	0.0036312	0.0129518	0.000960788	0.000273618	0.00739507	0.00133107	0.00542544	0.00651904	0.000246278	0.000806676	0.000661053	0.00867949	0.00127676
30	0	-1613.819	-1710.58	96.76102	0.108098	0.211395	0.061001	0.0603644	0.04218	0.00552564	0.00732923	0.00606244	0.00479744	0.00432018	0.361348	0.03213	0.323218	0.259797	0.0235066	0.113623	0.218724	0.0670634	0.0651619	0.0465002	0.0122894	0.00111829	0.00349905	0.00433545	0.0179885	0.0024481	0.00137371	0.0162231	5.9436e-05	0.00306734	0.000773001	0.012056	0.021679	0.00474164	0.00679442	0.00957932	0.022507	0.0124843	0.000854027	0.00865858
