Iteration	Posterior	Likelihood	Prior	diversification[1]	diversification[2]	diversification[3]	diversification[4]	diversification[5]	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	rate_category_prior[1]	rate_category_prior[2]	rate_category_prior[3]	rate_category_prior[4]	rate_category_prior[5]	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation[5]	transition_rates[1]	transition_rates[2]	transition_rates[3]	transition_rates[4]	transition_rates[5]	transition_rates[6]	transition_rates[7]	transition_rates[8]	transition_rates[9]	transition_rates[10]	transition_rates[11]	transition_rates[12]	transition_rates[13]	transition_rates[14]	transition_rates[15]	transition_rates[16]	transition_rates[17]	transition_rates[18]	transition_rates[19]	transition_rates[20]
34	-1603.231	-1703.139	99.90868	0.117892	0.323897	0.436198	0.0619568	0.0657791	0.0168485	0.00828242	0.0134303	0.00458451	0.0101466	0.119395	0.135943	0.601484	0.0999223	0.043256	0.134741	0.332179	0.449628	0.0665414	0.0759257	0.0148115	0.000183865	0.00511147	0.00516377	0.0144856	0.00443098	0.0102025	0.00297406	0.0112191	0.0015002	0.000568218	0.0045509	0.00137281	0.00586377	0.00299567	0.000395215	0.00153736	0.00114972	0.00451268	0.00242464
35	-1601.005	-1700.661	99.65587	0.112125	0.290674	0.406833	0.0578825	0.0653878	0.0163392	0.0100094	0.0121597	0.00462924	0.0100034	0.129399	0.221427	0.494	0.108295	0.0468803	0.128464	0.300684	0.418993	0.0625118	0.0753912	0.0137425	0.000187008	0.00506865	0.00508077	0.0193948	0.00477413	0.0098642	0.00313243	0.0115481	0.00139391	0.000523221	0.00389539	0.00137281	0.00586377	0.00303176	0.000365736	0.00174887	0.00113052	0.00393486	0.00302197
36	-1601.119	-1700.393	99.27411	0.120373	0.338452	0.440368	0.0512159	0.0578946	0.0153564	0.00932432	0.0139222	0.00448412	0.00905317	0.129399	0.221427	0.494	0.108295	0.0468803	0.135729	0.347777	0.45429	0.0557	0.0669478	0.0138023	0.000200487	0.00498672	0.00501115	0.019139	0.00515329	0.0115761	0.00338389	0.0126144	0.00134922	0.00054079	0.00389539	0.0013616	0.00587243	0.00293339	0.000404409	0.00171407	0.00138847	0.00402939	0.00317879
37	-1601.089	-1700.527	99.43855	0.12218	0.304785	0.478123	0.0494894	0.0544359	0.0135491	0.00854167	0.0144431	0.00517813	0.00982483	0.129399	0.221427	0.494	0.108295	0.0468803	0.135729	0.313326	0.492566	0.0546676	0.0642607	0.0138023	0.000219638	0.00522137	0.00521878	0.0196385	0.00496067	0.011885	0.00365532	0.00932769	0.00144734	0.000505919	0.00375431	0.00136067	0.00642522	0.00271677	0.000437307	0.00181839	0.00127263	0.00435988	0.00353118
38	-1599.277	-1698.644	99.36654	0.115529	0.305569	0.481048	0.0522933	0.0540373	0.0128821	0.00775691	0.0115175	0.00522807	0.0102234	0.129399	0.221427	0.494	0.108295	0.0468803	0.128411	0.313326	0.492566	0.0575214	0.0642607	0.0141922	0.00023584	0.0051216	0.00553005	0.0217666	0.00489466	0.0102482	0.00335612	0.00962338	0.00133823	0.000505611	0.0035066	0.00137558	0.00594161	0.00332822	0.000419744	0.00218619	0.00138175	0.00567257	0.00392087
39	-1598.054	-1696.823	98.76943	0.122975	0.313339	0.47062	0.0454192	0.0488176	0.0120626	0.00768231	0.0125515	0.00595029	0.00839488	0.0946234	0.430664	0.36124	0.079191	0.0342815	0.135038	0.321021	0.483172	0.0513695	0.0572125	0.0146509	0.000229937	0.00540546	0.00590647	0.0245443	0.0052211	0.010992	0.00331213	0.0098281	0.00141158	0.000476584	0.00389946	0.00124981	0.0058154	0.00378583	0.000423324	0.00268779	0.00139729	0.00579249	0.00369416
40	-1595.441	-1693.81	98.36948	0.125532	0.34527	0.508802	0.0364758	0.0444327	0.0111609	0.0073012	0.0124146	0.00722186	0.00845191	0.0946234	0.430664	0.36124	0.079191	0.0342815	0.136693	0.352571	0.521217	0.0436976	0.0528846	0.0151565	0.000229937	0.00510679	0.00583783	0.029098	0.0049992	0.0113034	0.00302173	0.00955799	0.00134657	0.000505455	0.00395724	0.00136171	0.00496452	0.00388006	0.000411258	0.0026472	0.00121629	0.00552905	0.00356047
41	-1596.992	-1695.779	98.78643	0.11892	0.364381	0.476985	0.0433492	0.0493327	0.0113741	0.00644946	0.0111449	0.00686196	0.00743011	0.0409395	0.18633	0.156293	0.601606	0.0148321	0.130294	0.370831	0.48813	0.0502112	0.0567629	0.0142521	0.000252181	0.00415448	0.00593441	0.0292289	0.0044591	0.0117654	0.00323395	0.00965134	0.00136027	0.00053014	0.00419689	0.0013037	0.00503358	0.00407791	0.000366701	0.00257602	0.00129039	0.00544659	0.00330414
42	-1597.122	-1695.164	98.0424	0.117151	0.36502	0.4944	0.0472845	0.0539569	0.013143	0.00581065	0.0111449	0.00819466	0.00721428	0.0341283	0.15533	0.13029	0.667888	0.0123645	0.130294	0.370831	0.505545	0.0554792	0.0611712	0.0145866	0.000283104	0.00410975	0.00589599	0.0290515	0.00408841	0.0108585	0.0032571	0.0104943	0.001597	0.000502392	0.00432089	0.00153511	0.00501974	0.00538598	0.000345796	0.00268339	0.00134802	0.0053958	0.00424125
43	-1591.858	-1689.17	97.31173	0.15671	0.342547	0.482603	0.0414547	0.0507933	0.0114747	0.0051002	0.0109785	0.00927628	0.00794641	0.0341283	0.15533	0.13029	0.667888	0.0123645	0.168185	0.347647	0.493582	0.050731	0.0587397	0.0156695	0.00026631	0.00385914	0.00583128	0.0350523	0.00377809	0.0102697	0.00339025	0.0102955	0.001414	0.000514515	0.00501733	0.00153511	0.00403906	0.00541022	0.00029777	0.00294283	0.00144838	0.00558027	0.00401787
44	-1590.009	-1686.658	96.64897	0.138035	0.342148	0.460738	0.0416905	0.0472762	0.0099314	0.0054994	0.0107243	0.00904042	0.00871312	0.0924857	0.420935	0.353079	0.0999936	0.033507	0.147967	0.347647	0.471462	0.050731	0.0559893	0.0181677	0.000298491	0.00310889	0.00553256	0.0401673	0.00390032	0.0111066	0.00339803	0.0102955	0.00151537	0.000448845	0.0048674	0.00134408	0.00428546	0.00545523	0.000314083	0.00298768	0.00134979	0.00530299	0.00357793
