"","family","natal_coat","natal_coat_type","natal_coat_type_simple","natal_coat_conspicuous","natal_coat_inconspicuous","natal_coat_present","sexual_dichromatism","sexual_dichromatism_type","sexual_dichromatism_complete","sexual_dichromatism_partial","sexual_dichromatism_present","size_dimorphism","maturation_color_change","maturation_males_only","maturation_females_only","maturation_both","maturation_none","all_color_traits","superfamily"
"Leontocebus_fuscicollis","Callitrichidae",0,"no","none",0,0,0,0,NA,NA,NA,0,1,"None",0,0,0,1,0,"Platyrrhini"
"Saimiri_ustus","Cebidae",0,NA,"none",0,0,0,1,"Partial",0,1,1,1,"None",0,0,0,1,1,"Platyrrhini"
"Saimiri_vanzolinii","Cebidae",0,NA,"none",0,0,0,0,NA,NA,NA,0,1,"None",0,0,0,1,0,"Platyrrhini"
"Saimiri_sciureus","Cebidae",0,NA,"none",0,0,0,0,NA,NA,NA,0,1,"None",0,0,0,1,0,"Platyrrhini"
"Saimiri_oerstedii","Cebidae",0,NA,"none",0,0,0,0,NA,NA,NA,0,1,"None",0,0,0,1,0,"Platyrrhini"
"Saimiri_boliviensis","Cebidae",0,NA,"none",0,0,0,1,"Partial",0,1,1,1,"None",0,0,0,1,1,"Platyrrhini"
"Sapajus_apella","Cebidae",1,"incon","inconspicuous",0,1,1,1,"Partial",0,1,1,1,"None",0,0,0,1,1,"Platyrrhini"
"Cebus_albifrons","Cebidae",0,"no","none",0,0,0,1,"Partial",0,1,1,1,"None",0,0,0,1,1,"Platyrrhini"
"Cebus_olivaceus","Cebidae",0,"no","none",0,0,0,0,NA,NA,NA,0,1,"None",0,0,0,1,0,"Platyrrhini"
"Cebus_capucinus","Cebidae",0,"no","none",0,0,0,1,"Partial",0,1,1,1,"None",0,0,0,1,1,"Platyrrhini"
"Aotus_trivirgatus","Cebidae",0,NA,"none",0,0,0,0,NA,NA,NA,0,1,"None",0,0,0,1,0,"Platyrrhini"
"Aotus_nigriceps","Cebidae",0,NA,"none",0,0,0,0,NA,NA,NA,0,1,"None",0,0,0,1,0,"Platyrrhini"
"Ateles_geoffroyi","Cebidae",1,"incon","inconspicuous",0,1,1,0,"Partial",0,1,1,0,"None",0,0,0,1,1,"Platyrrhini"
"Ateles_fusciceps","Cebidae",0,"no","none",0,0,0,0,NA,NA,NA,0,0,"None",0,0,0,1,0,"Platyrrhini"
