Iteration	Replicate_ID	Posterior	Likelihood	Prior	diversification[1]	diversification[2]	diversification[3]	diversification[4]	diversification[5]	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	rate_category_prior[1]	rate_category_prior[2]	rate_category_prior[3]	rate_category_prior[4]	rate_category_prior[5]	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation[5]	transition_rates[1]	transition_rates[2]	transition_rates[3]	transition_rates[4]	transition_rates[5]	transition_rates[6]	transition_rates[7]	transition_rates[8]	transition_rates[9]	transition_rates[10]	transition_rates[11]	transition_rates[12]	transition_rates[13]	transition_rates[14]	transition_rates[15]	transition_rates[16]	transition_rates[17]	transition_rates[18]	transition_rates[19]	transition_rates[20]
26	0	-1643.448	-1734.371	90.92262	0.141673	0.241177	0.0997075	0.0580613	0.0979408	0.00704861	0.00578248	0.00841649	0.00681337	0.00801113	0.580523	0.0197436	0.189002	0.00597533	0.204756	0.148722	0.246959	0.108124	0.0648747	0.105952	0.0284604	0.00338262	0.00355822	0.00568523	0.0013426	0.00560988	0.00668084	0.00155165	0.00567997	0.00365803	0.00615406	0.00623298	0.00208749	0.00350159	0.0170398	0.0326581	0.00217157	0.00982476	0.0102934	0.028205
27	1	-1666.756	-1761.644	94.88801	0.199973	0.19519	0.0585825	0.0616534	0.0727913	0.00652521	0.00961214	0.00970754	0.0119354	0.0133702	0.128416	0.419743	0.0210973	0.0407952	0.389948	0.206498	0.204802	0.0682901	0.0735889	0.0861615	0.0223021	0.00272909	0.0142712	0.00497828	0.000157444	0.00139921	0.0171281	0.00680112	0.00538289	0.00310397	0.00539149	0.00194882	0.00032766	0.00342507	0.00376397	0.0233445	0.0182243	0.00266713	0.00322544	0.00431786
28	0	-1635.509	-1725.736	90.22752	0.162676	0.262417	0.0846666	0.0554778	0.0965018	0.00692369	0.0066452	0.00969498	0.00606649	0.00758437	0.580523	0.0197436	0.189002	0.00597533	0.204756	0.1696	0.269062	0.0943616	0.0615442	0.104086	0.0341083	0.00337044	0.00349155	0.00521479	0.00143089	0.00510485	0.00668084	0.00170037	0.00601064	0.00333774	0.00567507	0.00646263	0.00236768	0.00400076	0.0150876	0.0355645	0.00203532	0.00904306	0.0113713	0.0261431
29	1	-1659.808	-1753.417	93.60867	0.208959	0.228617	0.0590617	0.0641087	0.0766446	0.00582748	0.00880758	0.00859896	0.0138546	0.0108512	0.128416	0.419743	0.0210973	0.0407952	0.389948	0.214787	0.237424	0.0676607	0.0779633	0.0874958	0.0257901	0.00239802	0.0154013	0.0051497	0.000140848	0.00132067	0.0180388	0.00773335	0.00542134	0.00311888	0.00576858	0.00210359	0.000341697	0.00329802	0.00385049	0.0255782	0.019045	0.00340003	0.00286311	0.0046449
30	0	-1631.811	-1722.977	91.16608	0.16956	0.268901	0.0726157	0.0379764	0.0971997	0.00490487	0.0059279	0.00910666	0.00673968	0.00708676	0.580523	0.0197436	0.189002	0.00597533	0.204756	0.174465	0.274829	0.0817224	0.044716	0.104286	0.0330527	0.00398616	0.00300481	0.0045781	0.00143089	0.00448765	0.00655234	0.00172209	0.00626222	0.00354031	0.00515375	0.00582177	0.00236768	0.00453671	0.016691	0.0360502	0.00181874	0.00939123	0.0117639	0.0256716
31	1	-1656.378	-1750.542	94.16381	0.229481	0.228447	0.0526435	0.0539369	0.0858266	0.00563384	0.00897697	0.00731645	0.0117762	0.0138626	0.128416	0.419743	0.0210973	0.0407952	0.389948	0.235115	0.237424	0.0599599	0.0657131	0.0996892	0.0263379	0.00210937	0.0132508	0.00493101	0.000160028	0.00132067	0.0173991	0.00662671	0.00537072	0.00296982	0.00556239	0.00208285	0.000338422	0.00438607	0.0035752	0.0202747	0.0247135	0.00357287	0.00286715	0.0046449
32	0	-1627.093	-1718.89	91.79689	0.206458	0.326458	0.0604079	0.0345571	0.0960616	0.00480977	0.00612304	0.00800678	0.00629885	0.00716508	0.580523	0.0197436	0.189002	0.00597533	0.204756	0.211268	0.332581	0.0684147	0.0408559	0.103227	0.0347546	0.00424185	0.00315351	0.00505244	0.00138292	0.0042751	0.00762419	0.00154161	0.00671339	0.00303865	0.00545878	0.00508674	0.00257489	0.00482372	0.016691	0.0289789	0.00195362	0.00939123	0.0121405	0.0248123
33	1	-1655.278	-1748.405	93.12715	0.257573	0.227753	0.0492437	0.0681351	0.0734245	0.00515863	0.00967078	0.00720114	0.0125614	0.0146078	0.0906372	0.636925	0.0127206	0.0245975	0.23512	0.262731	0.237424	0.0564448	0.0806966	0.0880323	0.0290231	0.00227572	0.0124209	0.00539739	0.00016439	0.00137628	0.0154943	0.00662671	0.00613891	0.00348892	0.00564609	0.0019093	0.000312191	0.00422947	0.00451044	0.0209006	0.0277146	0.00345292	0.00286715	0.00464455
34	0	-1626.824	-1719.376	92.5521	0.19776	0.319459	0.0605472	0.0383632	0.0921825	0.00441899	0.00481854	0.0072715	0.00598774	0.00709376	0.580523	0.0197436	0.189002	0.00597533	0.204756	0.202179	0.324278	0.0678187	0.0443509	0.0992763	0.0368136	0.0053476	0.00283784	0.00552879	0.00138292	0.00458309	0.00894254	0.00185874	0.00708208	0.0028638	0.00602254	0.00550956	0.00255487	0.00557642	0.0140598	0.0251079	0.00183466	0.00905364	0.0139423	0.0210047
35	1	-1650.541	-1743.623	93.08234	0.230739	0.227442	0.0546595	0.0643664	0.0732181	0.00546758	0.00998222	0.0069861	0.013876	0.0128083	0.0906372	0.636925	0.0127206	0.0245975	0.23512	0.236206	0.237424	0.0616456	0.0782425	0.0860264	0.0324386	0.00215971	0.0128445	0.00491833	0.000181526	0.00133882	0.0155898	0.00632264	0.00570371	0.00297595	0.00518907	0.00200452	0.000323656	0.00410295	0.0042466	0.0215102	0.0269522	0.00326923	0.00286715	0.00432187
