Iteration	Posterior	Likelihood	Prior	diversification[1]	diversification[2]	diversification[3]	diversification[4]	diversification[5]	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	rate_category_prior[1]	rate_category_prior[2]	rate_category_prior[3]	rate_category_prior[4]	rate_category_prior[5]	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation[5]	transition_rates[1]	transition_rates[2]	transition_rates[3]	transition_rates[4]	transition_rates[5]	transition_rates[6]	transition_rates[7]	transition_rates[8]	transition_rates[9]	transition_rates[10]	transition_rates[11]	transition_rates[12]	transition_rates[13]	transition_rates[14]	transition_rates[15]	transition_rates[16]	transition_rates[17]	transition_rates[18]	transition_rates[19]	transition_rates[20]
30	-3282.47	-3373.812	91.34162	0.187941	0.295973	0.103596	0.00616637	0.170311	0.00665529	0.00924644	0.00826006	0.00784418	0.00469761	0.0381288	0.287687	0.637245	0.0254183	0.011521	0.194597	0.305219	0.111856	0.0140105	0.175009	0.0316705	0.0010195	0.000396671	0.000345589	0.0069956	0.00229129	0.00549716	0.00427778	0.00459807	0.00927818	0.0503001	0.000727904	0.0225374	0.00233181	0.00101583	0.00760102	0.017726	0.00450639	0.0025156	0.00886866
31	-3281.6	-3371.784	90.18397	0.206222	0.284112	0.0987151	0.00469169	0.15382	0.00741429	0.00854001	0.00816791	0.00760851	0.00559131	0.0381288	0.287687	0.637245	0.0254183	0.011521	0.213637	0.292652	0.106883	0.0123002	0.159411	0.0320284	0.0012725	0.000426754	0.000378961	0.00791477	0.00215183	0.00557023	0.00399921	0.00435574	0.00927818	0.0546837	0.000653056	0.0235265	0.00217895	0.00102052	0.00738445	0.0184122	0.00547786	0.00261408	0.010233
32	-3278.151	-3367.846	89.69507	0.18672	0.278127	0.098699	0.00491432	0.152854	0.00706641	0.00812971	0.00893273	0.00711083	0.00463379	0.0381288	0.287687	0.637245	0.0254183	0.011521	0.193787	0.286256	0.107632	0.0120252	0.157487	0.0347413	0.0012725	0.000463943	0.000320782	0.00843312	0.00203442	0.00597476	0.00395228	0.00418574	0.00841124	0.0575685	0.000653056	0.0242403	0.00212215	0.000939687	0.00672281	0.0198929	0.00552628	0.00274921	0.0100669
33	-3279.346	-3368.82	89.4743	0.189927	0.282601	0.104547	0.00425034	0.145154	0.00744562	0.00668079	0.00775091	0.00752635	0.00430019	0.0381288	0.287687	0.637245	0.0254183	0.011521	0.197373	0.289282	0.112298	0.0117767	0.149454	0.0364891	0.00136368	0.000436192	0.000315106	0.00791486	0.00199898	0.00643798	0.00439389	0.00481314	0.00844044	0.0473958	0.000688303	0.0344007	0.00255108	0.00100884	0.00582686	0.0209056	0.00600719	0.00291539	0.00989705
34	-3277.582	-3366.17	88.58733	0.207142	0.324748	0.100363	0.00435401	0.135042	0.00732595	0.00667889	0.00835505	0.00788998	0.00496188	0.0381288	0.287687	0.637245	0.0254183	0.011521	0.214468	0.331427	0.108718	0.012244	0.140003	0.0405662	0.00148811	0.000429403	0.000363772	0.00782953	0.00210475	0.00574372	0.00423262	0.00592233	0.00759832	0.0490273	0.000623536	0.0359005	0.00227961	0.000933143	0.00509778	0.0178449	0.00594469	0.00272655	0.0111084
35	-3277.466	-3366.881	89.41527	0.17476	0.301197	0.101359	0.00495598	0.108189	0.00781317	0.00633243	0.00735853	0.00828934	0.00510266	0.0554718	0.418541	0.472246	0.0369799	0.0167613	0.182573	0.30753	0.108718	0.0132453	0.113291	0.0365476	0.00140008	0.000453554	0.000336773	0.00782953	0.00214839	0.00602847	0.00374282	0.00562223	0.00801606	0.0529711	0.000622333	0.0320603	0.00227961	0.000974662	0.00492448	0.0175477	0.00637484	0.00300314	0.0117445
36	-3264.209	-3353.283	89.07347	0.190841	0.305431	0.0967381	0.00578871	0.0878247	0.00905802	0.00689627	0.0084143	0.00900571	0.00431593	0.0415589	0.313567	0.604612	0.0277049	0.0125574	0.199899	0.312327	0.105152	0.0147944	0.0921406	0.0363088	0.00134107	0.000418784	0.000329737	0.0134528	0.00263111	0.00686723	0.00350231	0.00553019	0.0102288	0.0525323	0.000622333	0.0282018	0.00247122	0.000896586	0.00463889	0.0155781	0.00579193	0.00305559	0.0108432
37	-3262.079	-3352.177	90.09778	0.182956	0.316827	0.0979353	0.00802798	0.0881486	0.00710075	0.00728368	0.00831057	0.0074464	0.00399196	0.0277115	0.209086	0.403155	0.0184737	0.341573	0.190057	0.324111	0.106246	0.0154744	0.0921406	0.0330782	0.0013699	0.000406316	0.000344091	0.0143514	0.00236207	0.00574018	0.00387025	0.00483183	0.0102712	0.0545463	0.000552777	0.0285842	0.00303784	0.000899177	0.0045928	0.0129111	0.00579193	0.00290749	0.0103417
38	-3265.39	-3355.603	90.21365	0.205255	0.318114	0.0971686	0.00866267	0.0844008	0.00664847	0.00603138	0.0092099	0.00699455	0.00399959	0.0336568	0.253944	0.275107	0.022437	0.414855	0.211904	0.324145	0.106378	0.0156572	0.0884003	0.0324344	0.00110514	0.000398806	0.000361757	0.0143514	0.00281456	0.00633439	0.00387025	0.00665481	0.0103618	0.0517876	0.000614475	0.0285842	0.00303784	0.000854393	0.00519722	0.0132987	0.00527077	0.00312355	0.0104545
39	-3259.139	-3348.809	89.66966	0.194492	0.324213	0.0785845	0.00844143	0.0882323	0.00704562	0.0073494	0.0119332	0.00637473	0.00492625	0.0336568	0.253944	0.275107	0.022437	0.414855	0.201537	0.331563	0.0905177	0.0148162	0.0931586	0.0339013	0.00107817	0.000428428	0.000371735	0.0168191	0.00281456	0.00608783	0.00342632	0.00659444	0.00987602	0.0519099	0.000612268	0.028385	0.00323195	0.00104428	0.00410721	0.0123043	0.00530281	0.00284531	0.0105565
