"","family","natal_coat","natal_coat_type","natal_coat_type_simple","natal_coat_conspicuous","natal_coat_inconspicuous","natal_coat_present","sexual_dichromatism","sexual_dichromatism_type","sexual_dichromatism_complete","sexual_dichromatism_partial","sexual_dichromatism_present","size_dimorphism","maturation_color_change","maturation_color_change_numeric","maturation_color_change_letter","all_color_traits","trait_combination","trait_id","trait_id_letter","superfamily"
"Tarsius_syrichta","Tarsiidae",1,"incon","inconspicuous",0,1,1,0,NA,NA,NA,0,1,"None",0,"N","inconspicuous_NA_N","inconspicuous_NA_N",7,"G","Tarsiiformes"
"Tarsius_bancanus","Tarsiidae",1,"incon","inconspicuous",0,1,1,0,NA,NA,NA,0,0,"None",0,"N","inconspicuous_NA_N","inconspicuous_NA_N",7,"G","Tarsiiformes"
"Tarsius_tarsier","Tarsiidae",0,NA,"none",0,0,0,0,NA,NA,NA,0,1,"None",0,"N","none_NA_N","none_NA_N",10,"J","Tarsiiformes"
"Tarsius_dentatus","Tarsiidae",0,NA,"none",0,0,0,0,NA,NA,NA,0,0,"None",0,"N","none_NA_N","none_NA_N",10,"J","Tarsiiformes"
"Tarsius_pumilus","Tarsiidae",0,NA,"none",0,0,0,0,NA,NA,NA,0,0,"None",0,"N","none_NA_N","none_NA_N",10,"J","Tarsiiformes"
"Callicebus_cupreus","Cebidae",0,NA,"none",0,0,0,0,NA,NA,NA,0,0,"None",0,"N","none_NA_N","none_NA_N",10,"J","Platyrrhini"
"Callicebus_moloch","Cebidae",0,NA,"none",0,0,0,0,NA,NA,NA,0,0,"None",0,"N","none_NA_N","none_NA_N",10,"J","Platyrrhini"
"Callicebus_hoffmannsi","Cebidae",0,NA,"none",0,0,0,0,NA,NA,NA,0,0,"None",0,"N","none_NA_N","none_NA_N",10,"J","Platyrrhini"
"Callicebus_donacophilus","Cebidae",0,NA,"none",0,0,0,0,"Partial",0,1,1,0,"None",0,"N","none_Partial_N","none_Partial_N",11,"K","Platyrrhini"
"Callicebus_caligatus","Cebidae",0,NA,"none",0,0,0,0,NA,NA,NA,0,0,"None",0,"N","none_NA_N","none_NA_N",10,"J","Platyrrhini"
"Callicebus_personatus","Cebidae",1,"incon","inconspicuous",0,1,1,1,"Partial",0,1,1,0,"None",0,"N","inconspicuous_Partial_N","inconspicuous_Partial_N",8,"H","Platyrrhini"
"Callicebus_dubius","Cebidae",0,NA,"none",0,0,0,0,NA,NA,NA,0,0,"None",0,"N","none_NA_N","none_NA_N",10,"J","Platyrrhini"
"Callicebus_brunneus","Cebidae",0,NA,"none",0,0,0,0,NA,NA,NA,0,0,"None",0,"N","none_NA_N","none_NA_N",10,"J","Platyrrhini"
"Callicebus_cinerascens","Cebidae",0,NA,"none",0,0,0,0,NA,NA,NA,0,0,"None",0,"N","none_NA_N","none_NA_N",10,"J","Platyrrhini"
"Callicebus_torquatus","Cebidae",0,NA,"none",0,0,0,0,NA,NA,NA,0,1,"None",0,"N","none_NA_N","none_NA_N",10,"J","Platyrrhini"
"Pithecia_albicans","Cebidae",1,"incon","inconspicuous",0,1,1,0,NA,NA,NA,0,0,"None",0,"N","inconspicuous_NA_N","inconspicuous_NA_N",7,"G","Platyrrhini"
