"family","Genus","species","subspecies","Sexual_dimorphism","Sexual_Dimorph_type","...7","Location","Direction","Natal_coat","Natal_Coat_Type","NC_description","Sexual_dichromatism","Sexual_dichromatism_type","Where","Darker","SDC_description"
"cercopithecidae","cercopithecus","ascanius",NA,0,NA,NA,NA,0,1,0,"c.a.schmidtii incon to both treves 31-33, infants are uniformly dark grey, tail has no reddish tinge hill",0,NA,NA,0,NA
"cercopithecidae","cercopithecus","campbelli",NA,0,NA,NA,NA,0,1,0,"no treves 31, slightly different from adults in brightness and band size hill",0,NA,NA,0,NA
"cercopithecidae","cercopithecus","cephus",NA,0,NA,NA,NA,0,1,0,"no hair on the nose hill",0,NA,NA,0,NA
"cercopithecidae","cercopithecus","diana",NA,0,NA,NA,NA,0,1,0,"maybe incon to both treves 13,31, charcoal grey or brownish yellow hill",0,NA,NA,0,NA
"cercopithecidae","cercopithecus","dryas",NA,0,NA,NA,NA,0,1,0,"incon to both treves 34, more uniform coloration, no black on the limbs colyn",0,NA,NA,0,NA
"cercopithecidae","cercopithecus","erythrogaster",NA,0,NA,NA,NA,0,1,0,"nose patch is black in juveniles only some adults grow white hairs there hill",0,NA,NA,0,NA
"cercopithecidae","cercopithecus","erythrotis",NA,1,"M: hair on tail, scrotum and surrounding area has hair hill",NA,"Pubis",1,1,0,"no ear tufts, chin and throat are pure white hill",1,"Partial","Multiple",1,"M: hair around scrotum is bright orange-red hill, F: dark grey instead of dark green, paler throat and chest, olive grey on the limbs hill"
"cercopithecidae","cercopithecus","hamlyni",NA,0,NA,NA,NA,0,1,4,"neonates have a light yellowish brown coat rowe 601, con to both treves 31, uniformly golden yellow hill",1,"Partial",NA,0,"might be because of immaturity but overall females had a slightly different pattern than males hill"
"cercopithecidae","cercopithecus","lhoesti",NA,0,NA,NA,NA,0,1,0,"incon to both treves 31,32, infants are uniformly brown kingdon, hill",1,"Partial","Pubis",2,"males have a white perineal patch rowe 601"
"cercopithecidae","cercopithecus","mitis",NA,1,"F: c.m.boutourlinii less annulation of hairs on head and back hill",NA,"Head,Body",2,1,0,"c.m.boutourlinii: incon to both (grey back, no diadem) treves 31, c.m.mitis: no treves 31, c.m.opisthostictus: incon to both (paler but the crown is wholly black) treves 31, c.m.stuhlmanni: incon to both (uniformly black hill) treves 13, 33 contra 31",1,"Partial",NA,0,"slightly different color values between sexes in c.m.schoutedeni c.m.opisthostictus hill"
"cercopithecidae","cercopithecus","mona",NA,0,NA,NA,NA,0,0,1,NA,0,NA,NA,0,NA
"cercopithecidae","cercopithecus","neglectus",NA,0,NA,NA,NA,0,1,0,"light yellowish brown coat rowe 509, incon to both treves 18,34, infants are completely pale colyn,  infants are generally uniform brown or yellowish brown hill",1,"Partial","Pubis",1,"perineum is brownish red in females hill, kingdon"
"cercopithecidae","cercopithecus","nictitans",NA,1,"females have black hairs in their pubertal region hill",NA,"Pubis",2,1,0,"maybe incon to both treves 13,31, less white on the face, less defined patches, more black on the back hill",0,NA,NA,0,NA
"cercopithecidae","cercopithecus","petaurista",NA,0,NA,NA,NA,0,0,1,NA,0,NA,NA,0,NA
"cercopithecidae","cercopithecus","pogonias",NA,0,NA,NA,NA,0,0,1,"c.p.grayi no treves 35",1,"Partial","Body",1,"F: nigripes under parts paler in color"
"cercopithecidae","cercopithecus","preussi",NA,1,"females have a black tuft of pubertal hair",NA,"Pubis",2,0,1,NA,1,"Partial","Pubis",2,"females have a black tuft of pubertal hair"
"cercopithecidae","cercopithecus","sclateri",NA,0,NA,NA,NA,0,0,1,NA,0,NA,NA,0,NA
"cercopithecidae","cercopithecus","solatus",NA,0,NA,NA,NA,0,0,1,NA,0,NA,NA,0,NA
"cheirogaleidae","cheirogaleus","major",NA,0,NA,NA,NA,0,1,5,"c.m.major maybe incon treves 67, young said to be mouse grey hill",0,NA,NA,0,NA
"cheirogaleidae","cheirogaleus","medius",NA,0,NA,NA,NA,0,0,1,NA,0,NA,NA,0,NA
"cebidae","chiropotes","albinasus",NA,1,"tufts on crown and beard much larger in males emmons",NA,"Head",1,0,3,"no treves 10, beard and tufts undeveloped, less white hairs on the nose hill",0,NA,NA,0,NA
"cebidae","chiropotes","chiropotes",NA,0,NA,NA,NA,0,1,0,"incon to both treves 10, general color more yellowish-brown than in males",0,NA,NA,0,NA
