family,species,subspecies,Sexual_dimorphism,Sexual_Dimorph_type,Location,Direction,Natal_coat,Natal_Coat_Type,NC_description,Sexual_dichromatism,Sexual_dichromatism_type,Where,Darker,SDC_description,Size_Dimorphism,Simple_Natal_Coat_Type,Natal_Coat_Conspicuous,Natal_Coat_Inconspicuous,Natal_Coat_Present,Maturation_Color_Change,Maturation_Males_Only,Maturation_Females_Only,Maturation_Both,Maturation_None,Sexual_Dichromatism_Complete,Sexual_Dichromatism_Partial,Sexual_Dichromatism_Present,integrated_trait
callitrichidae,Callithrix_aurita,NA,0,NA,NA,NA,0,NA,NA,0,NA,NA,NA,rowe cite 600,0,none,0,0,0,None,0,0,0,1,NA,NA,0,1
callitrichidae,Callithrix_flaviceps,NA,0,NA,NA,NA,0,NA,"maybe, hill is confusing",0,NA,NA,NA,NA,0,none,0,0,0,None,0,0,0,1,NA,NA,0,1
callitrichidae,Callithrix_geoffroyi,NA,0,NA,NA,NA,0,no,"might be lighter coloration, rowe 509, no, treves 17",0,NA,NA,NA,NA,1,none,0,0,0,None,0,0,0,1,NA,NA,0,1
callitrichidae,Mico_humeralifer,NA,0,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,0,none,0,0,0,None,0,0,0,1,NA,NA,0,1
callitrichidae,Callithrix_jacchus,NA,0,NA,NA,NA,0,no,"infants have a darker face and no ear tufts rowe 351, no, treves 18,19, tufts are blackish in juveniles, grayish in subadults hersh",0,NA,NA,NA,NA,0,none,0,0,0,None,0,0,0,1,NA,NA,0,1
callitrichidae,Callithrix_kuhlii,NA,0,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,0,none,0,0,0,None,0,0,0,1,NA,NA,0,1
callitrichidae,Mico_mauesi,NA,0,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,1,none,0,0,0,None,0,0,0,1,NA,NA,0,1
callitrichidae,Mico_nigriceps,NA,0,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,0,none,0,0,0,None,0,0,0,1,NA,NA,0,1
callitrichidae,Callithrix_penicillata,NA,0,NA,NA,NA,1,incon,"no ear tufts, facial hair color doesnt fully match adults darker than adults rowe 351, no (kuhls) treves 7, other subspecies (maybe c.p.penicillata) incon to both treves 20",0,NA,NA,NA,NA,1,inconspicuous,0,1,1,None,0,0,0,1,NA,NA,0,2
cebidae,Cebus_albifrons,NA,1,"frontal tuft of longer hairs from the supraorbital region frequently present in females, never in males",Head,F,0,no,"maybe rowe 251, 198, no, treves 10, juveniles usually paler",1,Partial,Multiple,Varies,"rowe 198, females may have whitish or brownish frontal tuft, brown untufted forehead, tail may be frosted in males, not females, colors different across the body, varies by subspecies",1,none,0,0,0,None,0,0,0,1,0,1,1,0
cebidae,Sapajus_apella,NA,0,NA,NA,NA,1,incon,"c.a.cay no (treves 10), c.a.jurnanus incon to father (lacking rufous tinge on dorsum similar to females), c.a.nigritus incon to both (more brownish), tufts not developed in juveniles in some subspecies",1,Partial,NA,NA,NA,1,inconspicuous,0,1,1,None,0,0,0,1,0,1,1,0
cebidae,Cebus_capucinus,NA,1,"frontal tuft in some females of one subspecies (imitator), same subspecies female pelage longer and more woolly","Head,Body",F,0,no,"infants born with a gray face and ears, look like adults by 3 months, rowe 251, no treves 10,22",1,Partial,Multiple,M,"tufts in female imitator are brownish, females may be paler",1,none,0,0,0,None,0,0,0,1,0,1,1,0
cebidae,Cebus_olivaceus,NA,0,NA,NA,NA,0,no,"no treves 10, might just be individual variation",0,NA,NA,NA,NA,1,none,0,0,0,None,0,0,0,1,NA,NA,0,1
cercopithecidae,Cercocebus_agilis,NA,0,NA,NA,NA,1,incon,"maybe incon to both treves 12,28, lighter in color hill",0,NA,NA,NA,NA,1,inconspicuous,0,1,1,None,0,0,0,1,NA,NA,0,2
cercopithecidae,Cercocebus_galeritus,NA,1,F: less annulations confined to lumbar region hill,Body,F,1,incon,c.g.chrysogaster incon to both treves 29,1,Partial,Cape,M,F: paler than males especially on nape and shoulders hill,1,inconspicuous,0,1,1,None,0,0,0,1,0,1,1,0
cercopithecidae,Cercocebus_torquatus,torquatus,0,NA,NA,NA,1,incon,"c.t.torquatus maybe incon to both treves 7,28, maybe darker “sombrely” no cap for first few months hill",0,NA,NA,NA,NA,1,inconspicuous,0,1,1,None,0,0,0,1,NA,NA,0,2
cercopithecidae,Cercocebus_atys,atys,0,NA,NA,NA,1,incon,"c.t.atys no treves 15,28, more likely to have yellow or red on limbs hill",0,NA,NA,NA,NA,0,inconspicuous,0,1,1,None,0,0,0,1,NA,NA,0,2
cercopithecidae,Cercopithecus_ascanius,NA,0,NA,NA,NA,1,incon,"c.a.schmidtii incon to both treves 31-33, infants are uniformly dark grey, tail has no reddish tinge hill",0,NA,NA,NA,NA,1,inconspicuous,0,1,1,None,0,0,0,1,NA,NA,0,2
cercopithecidae,Cercopithecus_campbelli,NA,0,NA,NA,NA,1,incon,"no treves 31, slightly different from adults in brightness and band size hill",0,NA,NA,NA,NA,1,inconspicuous,0,1,1,None,0,0,0,1,NA,NA,0,2
cercopithecidae,Cercopithecus_cephus,NA,0,NA,NA,NA,1,incon,no hair on the nose hill,0,NA,NA,NA,NA,1,inconspicuous,0,1,1,None,0,0,0,1,NA,NA,0,2
cercopithecidae,Cercopithecus_diana,NA,0,NA,NA,NA,1,incon,"maybe incon to both treves 13,31, charcoal grey or brownish yellow hill",0,NA,NA,NA,NA,1,inconspicuous,0,1,1,None,0,0,0,1,NA,NA,0,2
cercopithecidae,Cercopithecus_dryas,NA,0,NA,NA,NA,1,incon,"incon to both treves 34, more uniform coloration, no black on the limbs colyn",0,NA,NA,NA,NA,1,inconspicuous,0,1,1,None,0,0,0,1,NA,NA,0,2
cercopithecidae,Cercopithecus_erythrogaster,NA,0,NA,NA,NA,1,incon,nose patch is black in juveniles only some adults grow white hairs there hill,0,NA,NA,NA,NA,1,inconspicuous,0,1,1,None,0,0,0,1,NA,NA,0,2
cercopithecidae,Cercopithecus_erythrotis,NA,1,"M: hair on tail, scrotum and surrounding area has hair hill",Pubis,M,1,incon,"no ear tufts, chin and throat are pure white hill",1,Partial,Multiple,M,"M: hair around scrotum is bright orange-red hill, F: dark grey instead of dark green, paler throat and chest, olive grey on the limbs hill",0,inconspicuous,0,1,1,None,0,0,0,1,0,1,1,0
cercopithecidae,Cercopithecus_hamlyni,NA,0,NA,NA,NA,1,con to both,"neonates have a light yellowish brown coat rowe 601, con to both treves 31, uniformly golden yellow hill",1,Partial,NA,NA,might be because of immaturity but overall females had a slightly different pattern than males hill,1,conspicuous,1,0,1,Both,0,0,1,0,0,1,1,5
cercopithecidae,Cercopithecus_lhoesti,NA,0,NA,NA,NA,1,incon,"incon to both treves 31,32, infants are uniformly brown kingdon, hill",1,Partial,Pubis,F,males have a white perineal patch rowe 601,1,inconspicuous,0,1,1,None,0,0,0,1,0,1,1,0
cercopithecidae,Cercopithecus_mitis,NA,1,F: c.m.boutourlinii less annulation of hairs on head and back hill,"Head,Body",F,1,incon,"c.m.boutourlinii: incon to both (grey back, no diadem) treves 31, c.m.mitis: no treves 31, c.m.opisthostictus: incon to both (paler but the crown is wholly black) treves 31, c.m.stuhlmanni: incon to both (uniformly black hill) treves 13, 33 contra 31",1,Partial,NA,NA,slightly different color values between sexes in c.m.schoutedeni c.m.opisthostictus hill,1,inconspicuous,0,1,1,None,0,0,0,1,0,1,1,0
cercopithecidae,Cercopithecus_mona,NA,0,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,1,none,0,0,0,None,0,0,0,1,NA,NA,0,1
cercopithecidae,Cercopithecus_neglectus,NA,0,NA,NA,NA,1,incon,"light yellowish brown coat rowe 509, incon to both treves 18,34, infants are completely pale colyn,  infants are generally uniform brown or yellowish brown hill",1,Partial,Pubis,M,"perineum is brownish red in females hill, kingdon",1,inconspicuous,0,1,1,None,0,0,0,1,0,1,1,0
cercopithecidae,Cercopithecus_nictitans,NA,1,females have black hairs in their pubertal region hill,Pubis,F,1,incon,"maybe incon to both treves 13,31, less white on the face, less defined patches, more black on the back hill",0,NA,NA,NA,NA,1,inconspicuous,0,1,1,None,0,0,0,1,NA,NA,0,2
cercopithecidae,Cercopithecus_petaurista,NA,0,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,1,none,0,0,0,None,0,0,0,1,NA,NA,0,1
cercopithecidae,Cercopithecus_pogonias,NA,0,NA,NA,NA,0,NA,c.p.grayi no treves 35,1,Partial,Body,M,F: nigripes under parts paler in color,1,none,0,0,0,None,0,0,0,1,0,1,1,0
cercopithecidae,Cercopithecus_preussi,NA,1,females have a black tuft of pubertal hair,Pubis,F,0,NA,NA,1,Partial,Pubis,F,females have a black tuft of pubertal hair,0,none,0,0,0,None,0,0,0,1,0,1,1,0
cercopithecidae,Cercopithecus_sclateri,NA,0,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,1,none,0,0,0,None,0,0,0,1,NA,NA,0,1
