Saguinus_bicolor,,,Lepilemur_hubbardorum,,,
Saguinus_fuscicollis,,,Lepilemur_jamesorum,,,
Saguinus_geoffroyi,,,Lepilemur_leucopus,,,
Saguinus_imperator,,,Lepilemur_microdon,,,
Saguinus_inustus,,,Lepilemur_milanoii,,,
Saguinus_labiatus,,,Lepilemur_mittermeieri,,,
Saguinus_leucopus,,,Lepilemur_mustelinus,,,
Saguinus_midas,,,Lepilemur_otto,,,
Saguinus_mystax,,,Lepilemur_petteri,,,
Saguinus_nigricollis,,,Lepilemur_randrianasoloi,,,
Saguinus_oedipus,,,Lepilemur_ruficaudatus,,,
Saguinus_tripartitus,,,Lepilemur_sahamalazensis,,,
Saimiri_boliviensis,,,Lepilemur_scottorum,,,
Saimiri_oerstedii,,,Lepilemur_seali,,,
Saimiri_sciureus,,,Lepilemur_septentrionalis,,,
Saimiri_ustus,,,Lepilemur_tymerlachsoni,,,
Saimiri_vanzolinii,,,Lepilemur_wrightae,,,
Semnopithecus_entellus,,,Lophocebus_albigena,,,
Tarsius_bancanus,,,Lophocebus_aterrimus,,,
Tarsius_dianae,,,Loris_lydekkerianus,,,
Tarsius_na,,,Loris_tardigradus,,,
Tarsius_pumilus,,,Macaca_arctoides,,,
Tarsius_spectrum,,,Macaca_assamensis,,,
Tarsius_syrichta,,,Macaca_cyclopis,,,
Theropithecus_gelada,,,Macaca_fascicularis,,,
Thrachypithecus_(Kasi) Johnii,,,Macaca_fuscata,,,
Thrachypithecus_(Kasi) Vetulus (Senex),,,Macaca_hecki,,,
Thrachypithecus_auratus,,,Macaca_leonina,,,
Thrachypithecus_cristatus,,,Macaca_leucogenys,,,
Thrachypithecus_delacouri,,,Macaca_maura,,,
Thrachypithecus_francoisi,,,Macaca_mulatta,,,
Thrachypithecus_geei,,,Macaca_munzala,,,
Thrachypithecus_na,,,Macaca_nemestrina,,,
Thrachypithecus_obscurus,,,Macaca_nigra,,,
Thrachypithecus_phayrei (Barbei),,,Macaca_nigrescens,,,
Thrachypithecus_pileatus,,,Macaca_ochreata,,,
Varecia_variegata,,,Macaca_pagensis,,,
,,,Macaca_radiata,,,
,,,Macaca_siberu,,,
,,,Macaca_silenus,,,
,,,Macaca_sinica,,,
,,,Macaca_sylvanus,,,
,,,Macaca_thibetana,,,
,,,Macaca_tonkeana,,,
,,,Mandrillus_leucophaeus,,,
,,,Mandrillus_sphinx,,,
,,,Megaladapis_edwardsi,,,
