Family,Genus,species,subspecies,Size_Dimorphism,Sexual_Dimorphism,DM_Head,Natal_Coat,ConD,ConM,ConB,Sexual_Dichromatism,DC_Head
cercopithecidae,macaca,thibetana,NA,1,1,1,1,0,0,0,1,0
cercopithecidae,macaca,tonkeana,NA,1,0,0,1,0,0,0,1,0
cercopithecidae,macaca,hecki,NA,0,1,1,1,0,0,0,1,1
cercopithecidae,macaca,nigrescens,NA,0,0,0,1,0,0,0,0,0
cercopithecidae,mandrillus,leucophaeus,NA,1,1,0,1,0,0,0,1,1
cercopithecidae,mandrillus,sphinx,NA,1,1,0,1,0,0,0,1,0
cheirogaleidae,microcebus,murinus,NA,1,0,0,0,0,0,0,0,0
cheirogaleidae,microcebus,myoxinus,NA,0,0,0,0,0,0,0,0,0
cheirogaleidae,microcebus,rufus,NA,0,0,0,0,0,0,0,0,0
cheirogaleidae,mizra,coquereli,NA,0,0,0,0,0,0,0,0,0
cercopithecidae,miopithecus,talapoin,NA,1,0,0,1,0,0,0,1,0
cercopithecidae,nasalis,larvatus,NA,1,1,0,1,0,0,0,1,0
cercopithecidae,simias,concolor,NA,1,0,0,1,0,0,0,0,0
loridae,nycticebus,pygmaeus,NA,1,0,0,1,0,0,0,0,0
loridae,nycticebus,coucang,NA,0,0,0,1,0,0,0,0,0
galagonidae,otolemur,crassicaudatus,0,1,0,0,0,0,0,0,0,NA
galagonidae,otolemur,garnettii,NA,1,0,0,0,0,0,0,0,0
hominidae,pan,troglodytes,NA,1,1,1,1,0,0,0,0,0
hominidae,pan,paniscus,NA,1,0,0,0,0,0,0,0,0
cercopithecidae,papio,anubis,NA,1,1,0,1,0,0,0,1,0
cercopithecidae,papio,cynocephalus,NA,1,1,0,1,0,0,0,0,0
cercopithecidae,papio,hamadryas,NA,1,1,0,1,0,0,0,1,0
cercopithecidae,papio,papio,NA,0,1,0,1,0,0,0,0,0
cercopithecidae,papio,ursinus,NA,1,1,0,1,0,0,0,1,0
loridae,perodicticus,potto,NA,0,0,0,1,0,0,0,0,0
cheirogaleidae,phaner,furcifer,NA,0,0,0,0,0,0,0,0,0
cebidae,pithecia,chrysocephala,1,0,1,1,1,0,0,1,1,NA
cebidae,pithecia,pithecia,pithecia,1,1,1,1,0,0,0,1,0
cebidae,pithecia,aequatorialis,NA,0,0,0,0,0,0,0,1,1
cebidae,pithecia,albicans,NA,0,0,0,1,0,0,0,0,0
cebidae,pithecia,irrorata,NA,1,0,0,0,0,0,0,0,0
cebidae,pithecia,monachus,NA,1,0,0,1,0,0,0,1,1
pongidae,pongo,abelii,NA,1,1,0,0,0,0,0,1,1
pongidae,pongo,pygmaeus,NA,1,1,0,1,0,0,0,0,0
cercopithecidae,presbytis,comata,NA,0,0,0,1,0,0,0,0,0
cercopithecidae,presbytis,femoralis,NA,0,0,0,1,0,0,0,0,0
cercopithecidae,presbytis,frontata,NA,0,0,0,1,0,0,1,0,0
cercopithecidae,presbytis,hosei,NA,1,0,0,1,0,0,1,1,1
cercopithecidae,presbytis,melalophos,NA,0,0,0,1,0,0,1,0,0
cercopithecidae,presbytis,potenziani,NA,0,0,0,1,0,0,1,0,0
cercopithecidae,presbytis,rubicunda,NA,0,0,0,1,0,0,1,0,0
cercopithecidae,presbytis,thomasi,NA,0,0,0,1,0,0,1,0,0
cercopithecidae,procolobus,verus,NA,1,0,0,1,0,0,0,0,0
cercopithecidae,procolobus,badius,NA,0,0,0,1,0,0,0,0,0
cercopithecidae,procolobus,pennantii,NA,1,0,0,1,0,0,0,0,0
cercopithecidae,procolobus,preussi,NA,0,0,0,1,0,0,0,0,0
cercopithecidae,procolobus,rufomitratus,NA,1,0,0,1,0,0,0,0,0
indridae,propithecus,diadema,NA,0,0,0,0,0,0,0,0,0
indridae,propithecus,tattersalli,NA,0,0,0,0,0,0,0,0,0
indridae,propithecus,verreauxi,NA,0,0,0,1,0,0,0,0,0
cercopithecidae,pygathrix,nemaeus,NA,1,1,0,1,0,0,0,1,0
cercopithecidae,pygathrix,nigripes,NA,1,1,1,1,0,0,0,1,0
cercopithecidae,pygathrix,cinerea,NA,0,0,0,0,0,0,0,0,0
