Iteration	Posterior	Likelihood	Prior	rate_gain[1]	rate_gain[2]	rate_gain_median	rate_gain_sd	rate_loss[1]	rate_loss[2]	rate_loss_median	rate_loss_sd	rf[1]	rf[2]	rf[3]	rf[4]	switch_fast_slow	switch_slow_fast
51	-68.72877	-77.13064	8.401865	0.00218694	0.0115603	0.005028081	1.234321	0.00521464	0.0895496	0.02160945	2.107759	0.306333	0.162504	0.116711	0.414452	0.004713963	0.03099463
52	-72.56041	-77.14656	4.586149	0.00280015	0.00902866	0.005028081	0.8678649	0.0085571	0.146949	0.03546065	2.107759	0.394494	0.282889	0.203172	0.119444	0.006348101	0.04862987
53	-71.33031	-74.94588	3.615572	0.00327417	0.0197209	0.008035535	1.331092	0.00939739	0.133809	0.03546065	1.968884	0.437093	0.313436	0.147022	0.10245	0.006462037	0.04862987
54	-71.15133	-76.97085	5.819515	0.00212381	0.0127921	0.00521228	1.331092	0.00735293	0.0891254	0.02559947	1.849506	0.191842	0.132309	0.538065	0.137783	0.009031177	0.04381921
55	-69.63802	-78.56008	8.92206	0.00398874	0.0139116	0.007449135	0.9260654	0.00372489	0.0686501	0.01599106	2.160142	0.208266	0.0580249	0.58413	0.149579	0.01143983	0.02683499
56	-69.23202	-78.24435	9.012332	0.00481314	0.0151884	0.008550072	0.8518877	0.00545012	0.0723732	0.01986057	1.917152	0.323042	0.0245618	0.519394	0.133002	0.01260482	0.02405426
57	-69.54535	-79.02853	9.483182	0.00361762	0.00952605	0.005870404	0.7177384	0.00693632	0.0873084	0.02460893	1.877475	0.239111	0.0266295	0.573793	0.160466	0.01260482	0.02068055
58	-71.52984	-79.26223	7.732388	0.00299816	0.0111884	0.005791767	0.9762024	0.00841167	0.0719952	0.02460893	1.591559	0.391056	0.0435514	0.302958	0.262435	0.0156496	0.03112452
59	-69.95009	-76.44117	6.491076	0.00412726	0.0154019	0.007972924	0.9762024	0.012779	0.109375	0.03738591	1.591559	0.136358	0.0974302	0.179112	0.5871	0.01443746	0.0266391
60	-69.29388	-76.93541	7.641524	0.00446418	0.0166592	0.00862379	0.9762024	0.0192867	0.108226	0.04568731	1.278603	0.148974	0.145175	0.195684	0.510167	0.0167932	0.01072308
61	-70.56393	-78.17149	7.607555	0.00574088	0.0129544	0.00862379	0.6032886	0.0211873	0.118892	0.05018964	1.278603	0.0451603	0.620671	0.0713551	0.262814	0.01704932	0.01095422
62	-71.39762	-77.57153	6.173906	0.00641767	0.0244384	0.01252348	0.991194	0.0153843	0.0863282	0.03644312	1.278603	0.0436903	0.600467	0.101584	0.254259	0.01704932	0.02656994
63	-71.44043	-76.42045	4.980018	0.00520939	0.0224315	0.01080993	1.082302	0.0176508	0.141901	0.05004662	1.545127	0.045907	0.630933	0.0561467	0.267013	0.01978555	0.01630846
64	-70.96575	-77.23249	6.266746	0.00520939	0.0224315	0.01080993	1.082302	0.0210674	0.0917937	0.04397562	1.091059	0.045907	0.630933	0.0561467	0.267013	0.02033904	0.01799343
65	-72.21324	-76.85016	4.636915	0.00409607	0.0176376	0.00849969	1.082302	0.024156	0.105251	0.05042259	1.091059	0.0722576	0.419089	0.0883749	0.420279	0.023377	0.02297779
66	-70.62306	-78.14722	7.524163	0.00266483	0.0205593	0.007401819	1.514607	0.0171567	0.0747544	0.03581258	1.091059	0.0729465	0.423084	0.0796835	0.424286	0.02107317	0.01395927
67	-69.48611	-76.24511	6.758997	0.00165765	0.033051	0.007401819	2.218455	0.0127936	0.100249	0.03581258	1.526122	0.134191	0.373137	0.118475	0.374197	0.01231685	0.01395927
68	-68.03615	-75.95415	7.918008	0.00184338	0.0175025	0.005680109	1.668478	0.00550006	0.141213	0.02786901	2.405903	0.202608	0.0535349	0.178879	0.564978	0.01231685	0.01078933
69	-68.75878	-76.44724	7.688469	0.00222216	0.0140005	0.005577761	1.364451	0.0120095	0.135211	0.04029673	1.794792	0.0620816	0.0629695	0.210403	0.664545	0.01231685	0.01179904
70	-68.29877	-76.88049	8.581717	0.00309166	0.0275112	0.009222529	1.620399	0.00987773	0.0860423	0.02915309	1.604588	0.102805	0.0735827	0.348421	0.475191	0.01231685	0.01179904
71	-70.29739	-76.31552	6.018132	0.00431557	0.0197089	0.009222529	1.125919	0.00994632	0.193191	0.04383535	2.199052	0.144134	0.119637	0.566493	0.169736	0.01231685	0.01497206
72	-68.62118	-78.0266	9.405417	0.00431557	0.0197089	0.009222529	1.125919	0.013593	0.0683323	0.03047688	1.197073	0.389173	0.0633229	0.0999749	0.447529	0.01134521	0.01675757
73	-68.28959	-76.56652	8.276931	0.00431557	0.0197089	0.009222529	1.125919	0.00892921	0.104023	0.03047688	1.820103	0.710434	0.0835985	0.131986	0.0739812	0.01332734	0.01528154
74	-67.75811	-76.32854	8.570436	0.00563509	0.0259347	0.01208902	1.131648	0.00388292	0.133822	0.02279518	2.624148	0.572439	0.261601	0.106349	0.059611	0.009547736	0.0114022
75	-68.98125	-78.42851	9.447259	0.00312802	0.0299038	0.009671578	1.67355	0.00601174	0.0571736	0.01853949	1.669691	0.572439	0.261601	0.106349	0.059611	0.01418842	0.01213292
76	-67.49573	-76.50106	9.005327	0.00238742	0.0228236	0.0073817	1.67355	0.00501906	0.0916906	0.02145229	2.153611	0.458072	0.331576	0.134796	0.0755562	0.007863501	0.01498587
77	-69.90256	-74.86616	4.963598	0.001034	0.0276462	0.005346598	2.435954	0.00915932	0.167327	0.03914844	2.153611	0.676716	0.1978	0.0804118	0.0450726	0.006529202	0.02112878
78	-69.95123	-78.28084	8.32961	0.0014815	0.00947757	0.003747136	1.37576	0.00609353	0.111319	0.02604473	2.153611	0.699136	0.166809	0.0874893	0.0465659	0.009585834	0.02112878
79	-70.5849	-80.19119	9.606286	0.00156486	0.0100108	0.003957964	1.37576	0.00715571	0.0777489	0.02358705	1.768428	0.642618	0.198144	0.103924	0.0553134	0.01387682	0.01445226
80	-71.16554	-79.04951	7.883962	0.00164248	0.0105074	0.004154311	1.37576	0.00750965	0.0815945	0.02475371	1.768428	0.643034	0.198272	0.103992	0.054702	0.01387682	0.02593831
81	-69.50592	-78.14599	8.640067	0.00174108	0.0099124	0.004154311	1.289331	0.00459574	0.133329	0.02475371	2.496474	0.350034	0.442511	0.135945	0.0715101	0.009008723	0.01701681
82	-71.91324	-79.76809	7.854854	0.00139297	0.00793053	0.003323703	1.289331	0.00529765	0.153693	0.02853438	2.496474	0.347748	0.439621	0.135057	0.0775739	0.01173991	0.01719348
83	-68.37278	-78.26652	9.893739	0.0016272	0.0130287	0.004604381	1.542121	0.008244	0.0807456	0.02580053	1.691514	0.614114	0.262465	0.0806322	0.0427893	0.008404545	0.01378411
84	-70.10521	-76.81678	6.711571	0.00164705	0.0128717	0.004604381	1.524144	0.0088955	0.152943	0.03688501	2.108646	0.399088	0.495593	0.0688054	0.0365131	0.008407973	0.02136672
85	-68.72224	-76.77987	8.057623	0.00174762	0.0136576	0.004885522	1.524144	0.00660872	0.113626	0.02740291	2.108646	0.408847	0.483259	0.0704878	0.037406	0.008407973	0.02052572
86	-68.57793	-77.29733	8.719399	0.00198695	0.0120126	0.004885522	1.333862	0.00680854	0.110291	0.02740291	2.064482	0.23135	0.704568	0.0418651	0.0222167	0.006093913	0.02088029
87	-66.69187	-76.13033	9.438459	0.00188113	0.012468	0.004842924	1.40202	0.00630021	0.11919	0.02740291	2.179524	0.170167	0.305669	0.34244	0.181724	0.003057279	0.01626839
88	-68.27214	-75.84044	7.568306	0.000629683	0.0138238	0.002950364	2.28983	0.0104634	0.131561	0.0371023	1.876667	0.135787	0.318333	0.356627	0.189252	0.004581819	0.01345978
89	-69.14478	-76.46184	7.317062	0.000662741	0.0145496	0.003105252	2.28983	0.0140374	0.0902586	0.03559484	1.379529	0.0927071	0.12936	0.648723	0.12921	0.006381197	0.02120121
90	-68.64876	-76.34262	7.693861	0.00055915	0.0172451	0.003105252	2.541822	0.0140374	0.0902586	0.03559484	1.379529	0.0965557	0.13473	0.563544	0.20517	0.007625762	0.01394519
