Iteration	Replicate_ID	Posterior	Likelihood	Prior	rate[1]	rate[2]	rf[1]	rf[2]
269	1	-78.49307	-79.00184	0.508776	0.0114546	0.0578333	0.779804	0.220196
270	0	-79.31829	-83.32311	4.004818	0.0132973	0.0299091	0.520996	0.479004
271	1	-78.89899	-82.16114	3.262152	0.0114546	0.0372923	0.370341	0.629659
272	0	-79.3882	-83.74209	4.353881	0.0106932	0.0299091	0.568789	0.431211
273	1	-80.298	-84.299	4.001	0.016912	0.0263228	0.561469	0.438531
274	0	-79.88994	-82.938	3.048062	0.0165447	0.0337994	0.0297516	0.970248
275	1	-79.40402	-84.20865	4.804631	0.0109211	0.0263184	0.932925	0.0670745
276	0	-78.56444	-78.90929	0.3448443	0.0141757	0.0563352	0.35654	0.64346
277	1	-79.04322	-81.85094	2.807718	0.009406	0.0427311	0.310633	0.689367
278	0	-78.54789	-79.66856	1.120665	0.0113469	0.0533761	0.105125	0.894875
279	1	-78.66202	-81.44154	2.779516	0.0126464	0.0397011	0.54113	0.45887
280	0	-79.76227	-83.87437	4.112106	0.0143254	0.0280806	0.332672	0.667328
281	1	-79.38581	-82.37221	2.986395	0.0150952	0.0357089	0.0777764	0.922224
282	0	-79.75647	-83.86858	4.112106	0.0143254	0.0280806	0.338585	0.661415
283	1	-80.08283	-81.38754	1.304711	0.0197252	0.0436248	0.316615	0.683385
284	0	-78.68348	-79.24142	0.5579396	0.0149072	0.054014	0.104952	0.895048
285	1	-78.98464	-78.75687	-0.227768	0.0166309	0.0581518	0.363072	0.636928
286	0	-78.50821	-79.12862	0.6204153	0.0144411	0.054014	0.799607	0.200393
287	1	-78.5925	-79.14078	0.5482825	0.0108413	0.0581518	0.556309	0.443691
288	0	-79.74353	-76.59997	-3.143556	0.0124229	0.0841125	0.856031	0.143969
289	1	-78.48414	-78.87885	0.3947113	0.011987	0.0581518	0.616735	0.383265
290	0	-79.42781	-76.75338	-2.674436	0.0147826	0.0782531	0.631811	0.368189
291	1	-79.03084	-78.21226	-0.8185822	0.0103918	0.0687986	0.450455	0.549545
292	0	-79.34245	-76.83679	-2.505668	0.0135235	0.0782531	0.577921	0.422079
293	1	-80.50188	-77.12231	-3.37957	0.0199912	0.078305	0.604328	0.395672
294	0	-80.37282	-76.00698	-4.365833	0.0135235	0.0921305	0.336844	0.663156
295	1	-79.59942	-76.75012	-2.849292	0.0160351	0.078305	0.436308	0.563692
296	0	-81.16391	-76.03969	-5.124227	0.0191814	0.0921305	0.302698	0.697302
297	1	-79.0725	-81.29581	2.223318	0.0160351	0.0404618	0.501369	0.498631
298	0	-79.73211	-78.4653	-1.266808	0.0191814	0.0633529	0.371589	0.628411
299	1	-78.51061	-81.32025	2.80964	0.011661	0.0404618	0.921647	0.0783534
300	0	-81.89027	-76.46233	-5.427938	0.0219407	0.0916369	0.710026	0.289974
301	1	-79.77915	-80.35626	0.5771093	0.00745986	0.0613183	0.921647	0.0783534
302	0	-81.27641	-76.13517	-5.141241	0.0198019	0.0916369	0.876378	0.123622
303	1	-79.73383	-79.13167	-0.6021589	0.00818873	0.0693871	0.921647	0.0783534
304	0	-80.3929	-80.47648	0.08358043	0.0211875	0.0512725	0.350815	0.649185
305	1	-82.2074	-75.68096	-6.526442	0.0117944	0.109978	0.437603	0.562397
306	0	-80.28614	-79.78848	-0.4976638	0.0211875	0.0556088	0.810017	0.189983
307	1	-80.88174	-76.94585	-3.935896	0.00966266	0.0927839	0.118212	0.881788
308	0	-78.90544	-79.00448	0.09904373	0.0167359	0.0556088	0.952904	0.0470959
309	1	-78.63122	-78.58014	-0.05108653	0.0116653	0.0617993	0.166093	0.833907
310	0	-79.77894	-82.56065	2.781706	0.0181309	0.0342003	0.952904	0.0470959
311	1	-78.583	-78.35142	-0.2315822	0.0130119	0.0617993	0.41413	0.58587
