Iteration	Replicate_ID	Posterior	Likelihood	Prior	prob_gain_A_indep	prob_gain_B_indep	prob_loss_A_indep	prob_loss_B_indep	rate_gain_A_when_B0	rate_gain_A_when_B1	rate_gain_B_when_A0	rate_gain_B_when_A1	rate_loss_A_when_B0	rate_loss_A_when_B1	rate_loss_B_when_A0	rate_loss_B_when_A1	rf[1]	rf[2]	rf[3]	rf[4]
40	0	-239.95	-246.7563	6.806308	0	1	1	0	0.01451322	0.002987828	0.007065235	0.007065235	0.08225419	0.08225419	0.02421004	0.03012568	0.470435	0.150597	0.0646078	0.314361
41	1	-230.3115	-221.1656	-9.145911	1	0	1	1	0.03650081	0.03650081	0.001470009	0.04323274	0.1128839	0.1128839	0.04953542	0.04953542	0.557056	0.120265	0.184192	0.138486
42	0	-240.0862	-243.4804	3.394179	1	1	0	1	0.01451322	0.01451322	0.01492279	0.01492279	0.09220791	0.002374734	0.02605131	0.02605131	0.241982	0.215564	0.0924794	0.449975
43	1	-229.9315	-224.2028	-5.728678	0	0	1	1	0.02525349	0.0121573	0.001461406	0.04946336	0.09021883	0.09021883	0.07611668	0.07611668	0.178518	0.124518	0.189621	0.507342
44	0	-240.4583	-237.6076	-2.850743	1	1	1	1	0.03112562	0.03112562	0.01073239	0.01073239	0.09220791	0.09220791	0.02605131	0.02605131	0.0733923	0.313378	0.0280487	0.585181
45	1	-231.2315	-224.0714	-7.160101	1	0	1	1	0.02525349	0.02525349	0.0009772208	0.03624193	0.09021883	0.09021883	0.07611668	0.07611668	0.150409	0.104911	0.317223	0.427456
46	0	-240.6675	-235.7685	-4.899039	1	1	1	1	0.03112562	0.03112562	0.01306428	0.01306428	0.1051569	0.1051569	0.02605131	0.02605131	0.14416	0.0541571	0.117498	0.684185
47	1	-230.0373	-226.2414	-3.795905	1	0	1	1	0.02525349	0.02525349	0.0008516712	0.04625169	0.09091546	0.09091546	0.04043789	0.04043789	0.122022	0.107395	0.423803	0.346781
48	0	-237.5906	-233.4286	-4.161938	1	1	0	1	0.04039725	0.04039725	0.007971531	0.007971531	0.1271988	0.002439136	0.02843417	0.02843417	0.13561	0.110251	0.11053	0.643609
49	1	-231.4196	-227.6108	-3.808845	1	0	1	1	0.03824178	0.03824178	0.0005793014	0.04625169	0.09091546	0.09091546	0.02781851	0.02781851	0.0782832	0.0576646	0.271892	0.59216
50	0	-234.9778	-226.9815	-7.996324	1	0	1	1	0.04285274	0.04285274	0.005087025	0.01765947	0.1410132	0.1410132	0.02843417	0.02843417	0.226803	0.0522079	0.665592	0.0553974
51	1	-231.7859	-227.5302	-4.255656	1	0	1	1	0.03332553	0.03332553	0.0009897609	0.05399872	0.09593882	0.09593882	0.02288725	0.02288725	0.0792129	0.0576065	0.271618	0.591563
52	0	-230.9205	-225.7743	-5.146257	1	0	1	1	0.04285274	0.04285274	0.003519157	0.0371378	0.1089431	0.1089431	0.02133149	0.02133149	0.156153	0.697981	0.126628	0.0192384
53	1	-231.9181	-225.9771	-5.941075	1	0	1	1	0.03448946	0.03448946	0.001769192	0.04439137	0.122088	0.122088	0.01697583	0.01697583	0.117987	0.0858045	0.404573	0.391636
54	0	-230.6032	-225.6177	-4.985508	1	0	1	1	0.04285274	0.04285274	0.003411588	0.03452378	0.1089431	0.1089431	0.02285384	0.02285384	0.163525	0.730931	0.0594	0.0461444
55	1	-231.4343	-227.0023	-4.432018	1	0	1	1	0.03448946	0.03448946	0.001830968	0.02811672	0.1270428	0.1270428	0.01697583	0.01697583	0.18421	0.133964	0.306748	0.375078
56	0	-229.405	-224.4444	-4.960576	1	0	1	1	0.02338895	0.02338895	0.002829356	0.03452378	0.1089431	0.1089431	0.04271385	0.04271385	0.392914	0.353486	0.142725	0.110875
57	1	-227.1789	-231.59	4.411111	0	0	1	0	0.01699893	0.02148218	0.003260402	0.03069883	0.1190366	0.1190366	0.01890343	0.005186506	0.0810749	0.851688	0.0388301	0.0284074
58	0	-232.3783	-223.048	-9.330279	0	0	1	1	0.02697538	0.04797509	0.003399946	0.01881262	0.1089431	0.1089431	0.07543402	0.07543402	0.436031	0.298206	0.172227	0.0935356
59	1	-230.368	-227.4701	-2.897931	1	0	1	1	0.02162724	0.02162724	0.003021832	0.03069883	0.1190366	0.1190366	0.02262653	0.02262653	0.153636	0.770656	0.0500035	0.0257047
60	0	-231.6658	-223.2758	-8.390031	1	0	1	1	0.0222698	0.0222698	0.003197589	0.02813933	0.1089431	0.1089431	0.07543402	0.07543402	0.430677	0.293059	0.188502	0.0877629
61	1	-228.8067	-225.8681	-2.938611	0	0	1	1	0.02656157	0.01808531	0.003454276	0.04355315	0.1190366	0.1190366	0.02316539	0.02316539	0.27248	0.470931	0.082731	0.173858
62	0	-233.1012	-227.6178	-5.483474	1	0	1	1	0.02027184	0.02027184	0.007975387	0.03179688	0.08082186	0.08082186	0.07543402	0.07543402	0.33313	0.270806	0.270243	0.12582
63	1	-230.0646	-225.4163	-4.648305	1	0	1	1	0.02700049	0.02700049	0.003132504	0.03773438	0.1190366	0.1190366	0.02316539	0.02316539	0.331487	0.453291	0.079632	0.135591
64	0	-233.0132	-225.4174	-7.595854	1	0	1	1	0.02027184	0.02027184	0.00878328	0.03179688	0.1060147	0.1060147	0.06519233	0.06519233	0.211373	0.171828	0.370984	0.245814
65	1	-231.0243	-221.6172	-9.40714	1	0	1	1	0.04308756	0.04308756	0.003616913	0.0373625	0.1190366	0.1190366	0.04246817	0.04246817	0.337725	0.461822	0.0623111	0.138142
66	0	-232.2385	-228.7319	-3.506543	1	0	1	1	0.02027184	0.02027184	0.00878328	0.03283752	0.08465212	0.08465212	0.05500671	0.05500671	0.0313267	0.250947	0.541806	0.17592
67	1	-232.1325	-229.2939	-2.83866	1	0	1	0	0.0489742	0.0489742	0.004009082	0.03220255	0.08282275	0.08282275	0.03377873	0.03132331	0.410339	0.434397	0.0253251	0.129939
68	0	-233.1906	-230.1397	-3.050883	1	0	1	1	0.02759525	0.02759525	0.01140581	0.02489247	0.08465212	0.08465212	0.04960646	0.04960646	0.0208612	0.16217	0.699819	0.11715
69	1	-233.1528	-228.2876	-4.865157	1	0	1	1	0.0489742	0.0489742	0.004891465	0.03052149	0.08317356	0.08317356	0.04412643	0.04412643	0.201238	0.213036	0.391945	0.193781
70	0	-234.6256	-232.3637	-2.261881	1	0	1	1	0.03184077	0.03184077	0.01220763	0.01800603	0.08465212	0.08465212	0.04555936	0.04555936	0.0209354	0.159193	0.702305	0.117566
71	1	-229.9168	-225.9645	-3.952313	1	0	1	1	0.0257863	0.0257863	0.003361925	0.03533943	0.08317356	0.08317356	0.05721583	0.05721583	0.201238	0.213036	0.391945	0.193781
72	0	-237.5561	-227.83	-9.726056	0	0	1	1	0.0361386	0.04019773	0.01184834	0.01709706	0.08465212	0.08465212	0.09455889	0.09455889	0.00826536	0.109444	0.755559	0.126732
73	1	-228.6106	-229.5754	0.9647745	1	0	1	0	0.01866089	0.01866089	0.002800931	0.03875904	0.0940835	0.0940835	0.04006432	0.01036715	0.201238	0.213036	0.391945	0.193781
74	0	-236.4559	-222.5709	-13.88504	1	0	1	1	0.0361386	0.0361386	0.006771575	0.01709706	0.1189183	0.1189183	0.1000527	0.1000527	0.0068121	0.0902009	0.622713	0.280274
75	1	-228.1625	-227.1115	-1.050931	0	0	1	1	0.01818888	0.01619018	0.002473072	0.04651729	0.09633987	0.09633987	0.04006432	0.04006432	0.293608	0.135046	0.288617	0.282728
76	0	-236.3503	-223.192	-13.15833	1	0	1	1	0.03055323	0.03055323	0.006935468	0.01709706	0.1189183	0.1189183	0.1000527	0.1000527	0.00422537	0.140424	0.681504	0.173847
