Iteration	Posterior	Likelihood	Prior	prob_gain_A_indep	prob_gain_B_indep	prob_loss_A_indep	prob_loss_B_indep	rate_gain_A_when_B0	rate_gain_A_when_B1	rate_gain_B_when_A0	rate_gain_B_when_A1	rate_loss_A_when_B0	rate_loss_A_when_B1	rate_loss_B_when_A0	rate_loss_B_when_A1	rf[1]	rf[2]	rf[3]	rf[4]
47	-229.7772	-229.8374	0.06025086	1	0	1	1	0.02839096	0.02839096	0.001468144	0.02149268	0.0887459	0.0887459	0.03484441	0.03484441	0.044489	0.248505	0.0895686	0.617438
48	-232.5952	-233.8526	1.257409	1	0	1	1	0.02483749	0.02483749	0.0006549897	0.01346912	0.0887459	0.0887459	0.03830342	0.03830342	0.0187717	0.682914	0.0377925	0.260521
49	-231.0668	-235.6372	4.570403	0	0	1	1	0.02477835	0.002286152	0.0008347464	0.01346912	0.0887459	0.0887459	0.04772247	0.04772247	0.0324599	0.285562	0.015803	0.666176
50	-233.0086	-229.6921	-3.316512	1	0	1	1	0.01967568	0.01967568	0.0008071179	0.01676789	0.1177681	0.1177681	0.04511501	0.04511501	0.0895534	0.787834	0.0435987	0.0790143
51	-232.4353	-236.3183	3.882948	1	0	1	1	0.02371475	0.02371475	0.0005069083	0.01676789	0.07650055	0.07650055	0.0289335	0.0289335	0.20957	0.402795	0.176709	0.210926
52	-230.6127	-233.6681	3.055416	1	0	1	1	0.02371475	0.02371475	0.0006128722	0.02317791	0.08678501	0.08678501	0.01830669	0.01830669	0.371406	0.122202	0.132582	0.37381
53	-229.6645	-232.0308	2.366267	1	0	1	0	0.02122557	0.02122557	0.0006128722	0.01998469	0.1107599	0.1107599	0.02479217	0.01690507	0.359778	0.124958	0.135572	0.379692
54	-231.7773	-232.2134	0.4361853	1	0	1	1	0.02122557	0.02122557	0.00058597	0.02122744	0.1107599	0.1107599	0.01833863	0.01833863	0.379646	0.0766361	0.143059	0.40066
55	-232.0345	-230.1238	-1.910719	1	0	1	1	0.03465095	0.03465095	0.0004623333	0.01786483	0.1107599	0.1107599	0.02590812	0.02590812	0.279924	0.104107	0.162069	0.4539
56	-229.7264	-230.0565	0.3300695	0	0	1	0	0.03465095	0.03118338	0.0004623333	0.01786483	0.1107599	0.1107599	0.03341318	0.01767813	0.566854	0.0368864	0.104261	0.291999
57	-231.2142	-229.8337	-1.38046	0	0	1	1	0.03465095	0.02631886	0.0004623333	0.01662678	0.1107599	0.1107599	0.03341318	0.03341318	0.448823	0.0292059	0.290772	0.231199
58	-230.1263	-228.2424	-1.88387	1	0	1	1	0.02280302	0.02280302	0.0004387975	0.02689139	0.1075811	0.1075811	0.03173152	0.03173152	0.547442	0.0239802	0.238746	0.189832
59	-230.6406	-225.9149	-4.725726	1	0	1	1	0.02280302	0.02280302	0.000754912	0.02676541	0.09727469	0.09727469	0.06304892	0.06304892	0.322931	0.0358767	0.357186	0.284006
60	-231.4465	-227.333	-4.113431	1	0	1	1	0.01826176	0.01826176	0.0007282596	0.02676541	0.09727469	0.09727469	0.06304892	0.06304892	0.261925	0.123129	0.289708	0.325239
