Iteration	Posterior	Likelihood	Prior	rate[1]	rate[2]	rf[1]	rf[2]
119	-78.76833	-79.41117	0.6428363	0.0155907	0.0526971	0.269815	0.730185
120	-79.11629	-77.46085	-1.655439	0.0155907	0.0698429	0.22219	0.77781
121	-78.87292	-80.58007	1.707155	0.0155907	0.044757	0.368824	0.631176
122	-79.0851	-79.25885	0.173751	0.0174953	0.054292	0.924755	0.0752449
123	-79.15841	-78.68285	-0.4755597	0.017335	0.0592963	0.390676	0.609324
124	-81.98836	-75.41615	-6.572208	0.0132182	0.108896	0.557172	0.442828
125	-80.65857	-76.11423	-4.544348	0.0120971	0.0948887	0.361488	0.638512
126	-80.73193	-76.28278	-4.449148	0.0113868	0.0948887	0.542498	0.457502
127	-80.7324	-76.28325	-4.449148	0.0113868	0.0948887	0.801	0.199
128	-80.61014	-75.90654	-4.703605	0.0132852	0.0948887	0.764057	0.235943
129	-80.61491	-75.95114	-4.663764	0.0129879	0.0948887	0.426072	0.573928
130	-80.82851	-76.46496	-4.363549	0.0107483	0.0948887	0.0464448	0.953555
131	-81.36483	-75.87728	-5.487554	0.0191337	0.0948887	0.239231	0.760769
132	-79.33509	-78.5905	-0.7445905	0.0179592	0.0606792	0.413575	0.586425
133	-81.15889	-81.18808	0.0291877	0.0231117	0.0497541	0.635334	0.364666
134	-79.13831	-82.82071	3.682405	0.0142857	0.031326	0.777679	0.222321
135	-79.31829	-83.32311	4.004818	0.0132973	0.0299091	0.520996	0.479004
136	-79.3882	-83.74209	4.353881	0.0106932	0.0299091	0.568789	0.431211
137	-79.88994	-82.938	3.048062	0.0165447	0.0337994	0.0297516	0.970248
138	-78.56444	-78.90929	0.3448443	0.0141757	0.0563352	0.35654	0.64346
139	-78.54789	-79.66856	1.120665	0.0113469	0.0533761	0.105125	0.894875
140	-79.76227	-83.87437	4.112106	0.0143254	0.0280806	0.332672	0.667328
141	-79.75647	-83.86858	4.112106	0.0143254	0.0280806	0.338585	0.661415
142	-78.68348	-79.24142	0.5579396	0.0149072	0.054014	0.104952	0.895048
143	-78.50821	-79.12862	0.6204153	0.0144411	0.054014	0.799607	0.200393
144	-79.74353	-76.59997	-3.143556	0.0124229	0.0841125	0.856031	0.143969
145	-79.42781	-76.75338	-2.674436	0.0147826	0.0782531	0.631811	0.368189
146	-79.34245	-76.83679	-2.505668	0.0135235	0.0782531	0.577921	0.422079
147	-80.37282	-76.00698	-4.365833	0.0135235	0.0921305	0.336844	0.663156
148	-81.16391	-76.03969	-5.124227	0.0191814	0.0921305	0.302698	0.697302
149	-79.73211	-78.4653	-1.266808	0.0191814	0.0633529	0.371589	0.628411
150	-81.89027	-76.46233	-5.427938	0.0219407	0.0916369	0.710026	0.289974
151	-81.27641	-76.13517	-5.141241	0.0198019	0.0916369	0.876378	0.123622
152	-80.3929	-80.47648	0.08358043	0.0211875	0.0512725	0.350815	0.649185
153	-80.28614	-79.78848	-0.4976638	0.0211875	0.0556088	0.810017	0.189983
154	-78.90544	-79.00448	0.09904373	0.0167359	0.0556088	0.952904	0.0470959
155	-79.77894	-82.56065	2.781706	0.0181309	0.0342003	0.952904	0.0470959
156	-80.37345	-82.9321	2.558651	0.0197949	0.0342003	0.946716	0.053284
